Sample	Treatment	Time	Pseudomonas
A1A	well_watered	1	control
A1B	well_watered	2	control
A1D	drought	2	control
A1F	well_watered	2	WCS417
A1H	drought	2	WCS417
A1J	well_watered	2	WCS315
A1K	drought	1	WCS315
A1M	well_watered	1	CHA0
A1O	drought	1	CHA0
A1P	drought	2	CHA0
A2A	well_watered	1	control
A2B	well_watered	2	control
A2C	drought 	1	control
A2E	well_watered	1	WCS417
A2F	well_watered	2	WCS417
A2G	drought 	1	WCS417
A2H	drought	2	WCS417
A2I	well_watered	1	WCS315
A2J	well_watered	2	WCS315
A2K	drought	1	WCS315
A2L	drought	2	WCS315
A2M	well_watered	1	CHA0
A2N	well_watered	2	CHA0
A3B	well_watered	2	control
A3C	drought	1	control
A3D	drought	2	control
A3E	well_watered	1	WCS417
A3G	drought	1	WCS417
A3I	well_watered	1	WCS315
A3L	drought	2	WCS315
A3N	well_watered	2	CHA0
A3O	drought	1	CHA0
A3P	drought	2	CHA0
A4A	well_watered	1	control
A4D	drought	2	control
A4G	drought	1	WCS417
A4H	drought	2	WCS417
A4I	well_watered	1	WCS315
A4J	well_watered	2	WCS315
A4K	drought	1	WCS315
A4L	drought	2	WCS315
A4M	well_watered	1	CHA0
A4N	well_watered	2	CHA0
A4O	drought	1	CHA0
A5C	drought	1	control
A5E	well_watered	1	WCS417
A5F	well_watered	2	WCS417
A5P	drought	2	CHA0
