WR_Filename;Sample Name;Sample Type;Water_regime;Treatment;4-methylsulfinylbutyl_glucosinolate;5-methylsulfinylpentyl_glucosinolate;6-methylsulfinylhexyl_glucosinolate;4-hydroxy-3-indolylmethyl-glucosinolate;7-methylsulfinylheptyl_glucosinolate;3-indolymethyl_glucosinolate;8-Methylsulfinyloctyl_glucosinolate;4-methoxy-3-indolylmethyl-glucosinolate;1-methoxy-3-indolylmethyl-glucosinolate;6-methylthiohexylglucosinolate;4-benzoyloxybutylglucosinolate;7-methylthioheptyl_glucosinolate;heptylglycosinolate;8-Methylthiooctyl_glucosinolate;2-benzoyloxy-3-butenylglucosinolate;Unknown;p-coumaric acid;Scopoletin;2-Hydroxycinnamic acid;6,7-Dihydroxycoumarin-6-glucoside
Ex_09191;Arab_1;Control;well-watered;mock;1984323,099;372147,6011;377539,2595;281112,2071;1943277,36;2111353,575;6501015,117;28834485,19;58760035,48;28334,65022;277433,0444;1009715,163;724660,6544;12328228,63;265058,8559;1258578;157213;4858681;292695;218260
Ex_09192;Arab_2;Control;well-watered;mock;714095,7487;170352,5337;117686,4977;8709,192405;461318,6823;15043,61245;185126,9107;11703732,34;2198170,407;ND;ND;68235,5952;281412,2435;1042162,29;343500,5162;1015260;162378;3902449;249664;701670
Ex_09193;Arab_3;Control;well-watered;mock;2805602,029;850658,7644;872197,3193;1841904,473;5553948,998;17846354,69;46198200,36;82539535,22;374283020,7;525852,0065;2057597,023;6873433,002;558497,708;75897489,23;314053,5833;899474;54999;4273635;229489;220341
Ex_09194;Arab_4;Treatment ;well-watered;PsWCS417;2542850,491;689973,4255;568625,6656;10322,29499;3194034,6;1840791,46;7959037,692;34919050,64;69497342,87;135994,5647;208863,3767;2278453,586;536132,0236;26204063,68;265464,8869;679152;111574;4931555;180108;114682
Ex_09195;Arab_5;Treatment ;well-watered;PsWCS417;2944030,47;602992,2196;495791,9254;127359,1411;3441472,541;3352900,585;13366386,54;30793921,2;141349652;278978;368378,6638;4279610,369;483095,9988;48319748,68;307634,1465;749294;139549;4942404;142816;111389
Ex_09196;Arab_6;Treatment ;well-watered;PsWCS417;1179153,284;201869,966;214785,7925;19254,46201;1290540,131;1327643,579;4296769,004;10505862,42;53923847,01;94151,81539;108328,5262;2018495,68;536589,8845;21327251,93;288531,138;650174;188846;4107738;154137;120605
Ex_09197;Arab_7;control-drought ;drought;mock;21791,25232;ND;21978,93672;19443,52109;330360,6863;1326770,102;2090376,673;3689771,41;20468400,99;6509,242944;88872,70567;665792,6667;742547,7329;7587992,261;246565,9881;1012234;341382;4549898;625220;201437
Ex_09198;Arab_8;control-drought ;drought;mock;135337,4189;21258,05113;96294,30036;8095,040512;594673,546;1455338,946;2454974,111;4716068,784;33878853,9;39582;193401,0938;1190461,301;629405,4854;10429059,51;257044,6999;1007961;287433;5502700;806214;289368
Ex_09199;Arab_9;control-drought ;drought;mock;117015,0296;8963,444421;55177,96024;14478,09991;360239,996;1379020,4;2113947,646;3254338,98;41225081,27;90056;97928,29952;1373518,98;804525,1115;10762082,92;252752,123;1053164;346326;5087096;610012;123865
Ex_09200;Arab_10;drought-VOCs treatment ;drought;PsWCS417;12346;ND;ND;8373,060739;71797,97701;144009,6008;511413,1987;685654,8153;12817670,09;ND;ND;254101,6115;634876,1671;1976217,054;263211,2412;1038176;650119;6102273;403296;74397
Ex_09201;Arab_11;drought-VOCs treatment ;drought;PsWCS417;52671,64941;ND;6730,330815;20648,77563;191941,4703;719417,9515;1320727,519;986192,1808;13961720,87;5615,062486;4550,317171;554716,2515;585426,6719;5173931,715;199839,9818;49999;471716;5293704;309996;419052
Ex_09202;Arab_12;drought-VOCs treatment ;drought;PsWCS417;222002,1195;36506,74294;45990,45831;66618,03184;481077,3423;1650886,111;3386911,702;3564805,228;47717495,85;82412;71938,45695;1497544,625;923050,2245;13986866,04;228985,3183;852621;386307;5796630;333341;81352
