Growth Treatment;Treatment;seedling_FW_g;Shoot_FW_g;Root_FW_g
75mM NaCl;mock;0,0078;0,0063;0,0015
75mM NaCl;mock;0,008;0,0058;0,0022
75mM NaCl;mock;0,0075;0,0056;0,0019
75mM NaCl;mock;0,0073;0,0051;0,0022
75mM NaCl;mock;0,0061;0,0046;0,0015
75mM NaCl;mock;0,0093;0,0072;0,0021
75mM NaCl;mock;0,0073;0,0053;0,002
75mM NaCl;mock;0,0076;0,006;0,0016
75mM NaCl;mock;0,0062;0,0046;0,0016
75mM NaCl;mock;0,007;0,0052;0,0018
75mM NaCl;mock;0,0071;0,0055;0,0016
75mM NaCl;mock;0,0085;0,0064;0,0021
75mM NaCl;mock;0,0081;0,0062;0,0019
75mM NaCl;mock;0,0072;0,0056;0,0016
75mM NaCl;mock;0,0075;0,0058;0,0017
75mM NaCl;mock;0,0065;0,005;0,0015
75mM NaCl;mock;0,0071;0,0056;0,0016
75mM NaCl;mock;0,0076;0,0058;0,0018
75mM NaCl;mock;0,0056;0,0042;0,0014
75mM NaCl;mock;0,0068;0,006;0,0008
75mM NaCl;mock;0,0059;0,0043;0,0016
75mM NaCl;mock;0,0069;0,0054;0,0015
75mM NaCl;mock;0,0057;0,004;0,0017
75mM NaCl;mock;0,0057;0,0045;0,0012
75mM NaCl;mock;0,0043;0,0032;0,0011
75mM NaCl;PsWCS417;0,0095;0,008;0,0015
75mM NaCl;PsWCS417;0,0103;0,0078;0,0025
75mM NaCl;PsWCS417;0,0117;0,0087;0,003
75mM NaCl;PsWCS417;0,0078;0,0064;0,0014
75mM NaCl;PsWCS417;0,0095;0,0072;0,0023
75mM NaCl;PsWCS417;0,0136;0,0103;0,0033
75mM NaCl;PsWCS417;0,0129;0,0102;0,0027
75mM NaCl;PsWCS417;0,0133;0,0098;0,0035
75mM NaCl;PsWCS417;0,0152;0,0113;0,0039
75mM NaCl;PsWCS417;0,0118;0,0089;0,003
75mM NaCl;PsWCS417;0,0081;0,0061;0,0019
75mM NaCl;PsWCS417;0,0104;0,0079;0,0025
75mM NaCl;PsWCS417;0,0134;0,0097;0,0037
75mM NaCl;PsWCS417;0,0118;0,0087;0,0031
75mM NaCl;PsWCS417;0,0109;0,0079;0,0029
75mM NaCl;PsWCS417;0,0122;0,0092;0,003
75mM NaCl;PsWCS417;0,0108;0,0084;0,0024
75mM NaCl;PsWCS417;0,0127;0,0094;0,0033
75mM NaCl;PsWCS417;0,0101;0,0076;0,0025
